Varve range,Bottom varve,Bottom year,Actinocyclus curvatulus,Alvelus marinus,Azpeitia africana,A. nodulifer,A. tabularis,Coscinodiscus radiatus,Cyclotella spp.,Delphineis spp.,Fragilariopsis doliolus,Hemidiscus cuneiformis,Neodenticula seminae,Nitzschia interruptestriata,N. sp. cf. N. sicula,Pseudonitzschia australis,Pseudonitzschia multiseries,Rhizosolenia spp.,Roperia tesselata,Stephanopyxis spp.,Thalassionema nitzschioides,Thalassiosira eccentrica,T. lineata,T. oestrupii,T. pacifica,T. spp.,Thalassiothrix longissima,Other planktic,Actinoptychus spp.,Paralia sulcata,Benthic,Freshwater planktic,Reworked,Total counted
2007,-6,2007,25,0,1,0,0,1,1,0,0,0,0,1,1,44,3,0,0,0,2,3,0,1,1,8,0,3,2,0,3,0,1,313
2006,-5,2006,1,0,0,0,0,1,1,0,0,0,0,1,0,76,4,0,0,0,2,2,0,1,1,5,0,1,3,0,1,0,0,334
2005,-4,2005,1,0,0,0,3,3,7,0,15,0,0,5,2,5,1,0,0,0,21,3,2,1,0,13,0,5,5,0,8,1,1,311
2004,-3,2004,1,0,0,0,1,1,1,0,1,0,0,1,2,27,6,1,0,0,9,6,1,0,9,21,1,4,2,0,4,0,1,313
2003,-2,2003,0,0,0,0,1,0,0,0,1,0,0,1,0,44,14,1,0,0,20,1,0,0,2,6,1,2,2,0,1,0,0,308
2002,-1,2002,0,0,0,0,0,1,1,0,6,1,0,5,0,27,26,0,0,0,10,3,0,1,0,5,0,2,2,0,7,0,1,413
0,0,2001,1,0,0,0,0,5,1,0,5,0,0,5,1,10,10,2,0,0,29,2,0,1,1,9,1,2,4,1,11,0,0,333
1,1,2000,1,0,0,0,0,4,4,0,12,1,0,5,1,4,21,0,0,0,18,3,0,1,0,10,2,4,3,0,5,0,1,314
2,2,1999,0,0,0,0,1,2,1,0,1,0,0,9,0,0,26,1,0,0,28,2,0,1,0,6,4,5,2,0,8,0,1,349
3,3,1998,0,0,0,0,3,3,0,0,1,0,0,10,0,0,1,2,1,0,44,5,0,0,1,4,1,5,1,1,13,0,2,303
4,4,1997,1,0,0,1,1,3,1,0,4,0,0,5,0,0,3,3,1,0,43,6,1,0,1,4,1,3,0,0,18,0,2,316
5,5,1996,1,0,0,0,2,10,3,0,10,0,0,4,0,0,6,5,0,0,22,4,0,0,1,5,2,3,1,1,17,0,3,311
6,6,1995,1,1,0,0,1,12,1,0,8,0,0,10,0,0,5,6,1,1,17,7,0,1,0,7,0,3,2,0,16,0,1,304
7,7,1994,0,0,0,0,2,8,2,1,21,1,0,8,0,0,1,5,1,0,19,5,1,1,1,4,2,3,1,0,13,0,1,309
 7-9,9,1993,1,0,0,0,1,6,3,0,20,0,0,4,0,0,3,7,0,1,23,4,1,0,1,5,0,3,1,0,16,0,0,333
 9-11,11,1991,0,0,0,0,1,7,1,0,7,0,0,8,1,0,12,10,0,0,26,2,0,0,0,4,0,5,2,0,13,0,0,335
 11-13,13,1989,0,0,0,1,3,5,3,0,7,1,0,5,1,0,5,25,0,0,18,6,0,1,0,5,1,2,3,0,8,0,0,310
 13-15,15,1987,1,0,0,0,0,6,4,0,16,0,0,5,3,0,3,15,1,0,9,6,0,1,0,8,0,5,2,0,12,0,0,301
 15-17,17,1985,1,0,0,0,1,6,2,0,8,0,0,6,0,0,0,10,0,1,21,5,1,1,0,7,1,6,3,0,17,1,1,316
 17-19,19,1983,0,1,0,1,2,3,1,0,11,0,0,6,0,0,0,3,1,0,35,5,0,1,0,6,1,6,1,0,13,0,1,318
 19-21,21,1981,0,0,0,1,1,7,3,1,17,0,0,6,2,0,0,3,0,0,21,5,0,0,0,8,0,5,2,0,14,0,2,301
 21-23,23,1979,1,0,0,0,1,5,5,0,15,1,0,7,1,0,0,9,0,0,16,4,0,1,0,11,1,4,4,0,13,0,0,301
 23-25,25,1977,1,0,0,0,0,2,1,0,13,0,0,3,2,0,0,51,1,0,10,1,0,0,1,6,0,3,1,0,4,0,0,333
 25-27,27,1975,0,0,0,0,0,2,2,0,10,0,0,8,1,0,0,30,0,0,21,4,0,1,0,4,0,4,4,0,7,0,1,306
 27-29,29,1973,0,0,0,0,1,4,4,0,7,0,0,3,0,0,0,25,0,0,16,2,0,0,1,13,0,3,2,0,17,0,1,309
 29-31,31,1971,0,0,0,1,2,7,5,0,8,1,0,5,1,0,1,6,0,0,16,3,1,1,0,11,2,3,3,0,20,0,1,307
 31-33,33,1969,1,0,1,0,1,5,5,0,4,0,0,7,4,0,1,12,0,0,13,3,0,2,1,10,1,7,2,2,19,0,0,302
 33-35,35,1967,1,0,0,0,1,4,5,0,8,0,0,9,5,0,0,8,0,0,17,7,0,1,0,9,0,6,1,1,15,0,0,317
 35-37,37,1965,0,0,0,0,1,2,2,0,12,1,0,7,0,0,0,34,0,0,13,3,0,1,1,7,1,4,1,0,10,0,1,308
 37-39,39,1963,2,0,0,0,1,1,1,0,7,0,0,4,1,0,1,57,0,0,6,2,0,1,1,4,0,2,2,0,5,0,0,315
 39-41,41,1961,1,0,0,0,1,2,3,0,31,0,0,2,1,0,0,3,0,0,27,5,0,0,0,7,1,4,2,0,7,0,0,303
 41-43,43,1959,1,0,0,0,2,2,5,0,24,0,0,4,1,0,0,4,1,0,23,3,0,0,0,7,1,3,3,0,14,0,0,313
 43-45,45,1957,0,0,0,0,1,6,5,0,21,0,0,7,0,0,0,11,0,0,15,3,0,0,0,8,0,4,2,3,13,0,0,307
 45-47,47,1955,0,0,0,0,0,5,5,0,17,0,0,6,0,0,0,10,0,0,21,2,0,1,0,6,1,5,4,0,16,0,1,307
 47-49,49,1953,0,0,0,0,0,2,3,0,27,2,0,4,0,0,0,4,0,0,30,1,0,1,0,5,2,7,1,0,10,0,0,301
 49-51,51,1951,3,0,1,0,1,9,1,0,13,0,0,5,0,0,0,3,1,0,28,4,0,1,0,4,0,5,2,0,18,0,0,308
 51-53,53,1949,1,0,0,0,0,11,1,0,16,0,0,8,0,0,0,0,0,0,29,3,0,1,0,3,1,3,2,0,20,1,0,320
 53-55,55,1947,0,0,0,0,1,9,4,1,11,1,0,4,0,0,0,1,1,1,35,5,1,0,0,3,2,4,2,0,14,0,0,305
 55-57,57,1945,2,0,0,0,1,4,4,0,16,0,0,9,0,0,0,2,1,0,27,3,0,1,0,5,2,6,3,0,13,0,2,328
 57-59,59,1943,2,0,0,0,1,7,5,0,22,0,0,5,0,0,0,1,1,0,19,3,0,1,0,6,1,6,8,0,11,1,0,308
 59-61,61,1941,2,0,0,0,1,6,4,0,19,1,0,5,0,0,0,4,0,0,23,7,0,0,0,8,1,4,2,0,11,0,1,313
 61-63,63,1939,1,0,0,0,0,6,8,0,12,0,0,1,0,0,0,1,1,0,33,5,1,0,1,8,2,6,2,0,8,1,0,306
 63-65,65,1937,1,0,0,0,0,4,5,0,7,0,0,3,0,0,0,1,1,0,39,6,1,0,0,7,4,4,3,1,12,0,1,305
 65-67,67,1935,1,0,0,0,0,7,4,0,11,0,0,4,0,0,0,0,0,0,40,3,0,0,0,5,1,1,1,0,21,0,0,306
 67-69,69,1933,1,0,0,0,1,6,2,0,13,0,0,2,0,0,0,2,0,0,33,5,0,1,0,6,3,3,4,0,17,0,1,309
 69-71,71,1931,1,0,0,0,0,6,3,0,17,0,0,4,2,0,0,6,0,0,28,2,0,0,0,4,1,3,2,1,18,0,0,357
 71-73,73,1929,1,0,0,0,2,7,5,1,17,0,0,3,0,0,0,2,0,0,26,5,0,1,0,5,1,5,2,0,18,0,0,302
 73-75,75,1927,1,0,0,0,1,7,7,0,6,0,0,4,0,0,0,3,0,0,33,3,1,0,0,6,2,2,3,0,21,1,0,306
 75-77,77,1925,0,0,0,0,1,3,6,0,5,0,0,5,0,0,0,2,0,0,44,2,0,0,0,4,3,2,2,0,17,1,2,311
 77-79,79,1923,1,0,0,0,1,4,13,0,8,0,0,6,0,0,0,2,0,0,27,2,0,0,0,3,4,4,2,0,22,0,1,309
 79-81,81,1921,1,0,0,0,0,3,5,0,11,0,0,6,1,0,0,2,0,0,36,3,0,1,0,6,3,3,3,0,16,1,0,305
 81-83,83,1919,1,0,0,0,0,5,6,0,3,0,0,7,0,0,0,2,0,0,34,7,1,0,0,4,2,5,3,0,17,1,0,302
 83-85,85,1917,2,0,0,0,0,1,3,0,7,0,0,7,0,0,0,5,0,0,44,3,0,1,0,7,2,2,2,0,11,0,1,308
 85-87,87,1915,1,0,1,0,0,5,7,0,6,0,0,3,0,0,0,4,0,0,33,8,0,0,1,12,1,3,4,0,12,0,0,304
 87-89,89,1913,1,0,0,0,1,4,4,0,4,0,0,4,1,0,0,4,0,0,35,5,0,2,0,11,2,4,3,0,14,0,1,312
 89-91,91,1911,3,0,0,0,1,5,3,0,3,0,0,4,0,0,1,4,1,0,35,7,0,1,0,9,1,2,2,0,17,0,0,314
 91-93,93,1909,1,0,0,0,0,7,5,0,4,0,0,5,0,0,0,4,1,0,33,8,1,1,0,5,3,3,3,1,16,0,0,308
 93-95,95,1907,3,0,1,0,2,11,3,0,11,0,0,7,1,0,0,1,0,1,22,9,0,1,0,6,1,4,2,0,15,0,0,305
 95-97,97,1905,1,1,0,0,1,6,5,0,8,0,0,7,0,0,0,3,1,1,24,6,0,0,0,7,1,5,2,0,21,0,1,308
 97-99,99,1903,0,0,0,0,1,3,6,0,5,0,0,10,1,0,0,9,0,0,27,4,0,1,0,6,1,4,1,0,20,0,0,311
 99-101,101,1901,1,0,0,0,2,5,2,0,8,0,0,9,1,0,0,4,0,0,21,7,0,1,0,8,2,3,2,1,20,0,1,318
 101-103,103,1899,1,0,0,0,3,3,3,0,3,0,0,3,0,0,0,8,1,0,32,7,0,1,0,4,2,3,2,0,25,0,1,314
 103-105,105,1897,5,0,1,0,1,2,3,1,3,0,0,6,0,0,0,8,0,0,23,5,0,0,0,5,3,3,2,0,28,1,1,318
 105-107,107,1895,2,0,0,0,1,2,2,0,6,0,0,5,0,0,0,9,0,1,30,6,1,0,0,3,2,2,1,0,23,0,1,307
 107-109,109,1893,1,0,0,0,2,2,3,0,4,0,0,11,0,0,0,3,0,0,39,7,1,0,1,2,1,1,3,1,16,0,1,316
 109-111,111,1891,9,0,0,0,0,1,3,0,2,0,0,5,1,0,0,5,0,0,35,8,0,1,0,6,4,3,3,0,12,0,1,313
 111-113,113,1889,2,0,0,0,1,3,3,0,4,0,0,11,1,0,0,1,1,0,31,12,0,2,0,4,3,7,2,0,13,0,1,303
 113-115,115,1887,2,0,0,0,1,4,5,0,6,0,0,8,2,0,0,3,0,0,30,8,1,1,0,10,0,4,2,0,11,0,1,321
 115-117,117,1885,4,0,1,0,0,4,4,0,7,0,0,7,1,0,0,5,0,0,25,10,1,4,1,9,1,5,5,0,6,0,0,309
 117-119,119,1883,2,0,0,0,0,4,1,0,4,0,0,9,1,0,0,14,0,0,35,4,1,3,0,4,1,3,1,0,12,0,1,303
 119-121,121,1881,2,0,0,0,1,6,4,0,4,0,0,6,2,0,0,5,1,1,35,4,1,1,0,3,1,2,1,0,20,0,0,303
 121-123,123,1879,4,0,0,0,0,2,4,0,3,0,0,6,0,0,0,8,0,0,32,10,1,0,0,2,0,4,4,0,15,0,1,301
 123-125,125,1877,1,0,0,0,0,1,3,0,2,0,0,4,1,0,0,26,0,0,23,9,0,1,0,8,0,3,3,0,12,0,1,301
 125-127,127,1875,0,0,0,0,0,4,2,0,2,0,0,7,0,0,0,23,0,0,26,7,1,1,0,5,1,4,2,0,13,0,1,307
 127-129,129,1873,1,0,0,1,1,4,5,1,7,0,0,7,0,0,0,25,0,0,19,4,0,0,0,6,2,2,3,0,12,0,1,323
129-131,131,1871,1,0,0,0,0,3,8,0,9,0,0,6,0,0,0,12,0,0,24,7,1,0,1,8,1,3,7,0,8,0,0,316
131-133,133,1869,2,0,0,0,1,2,4,0,7,0,0,4,0,0,0,19,1,0,27,5,1,0,0,9,0,6,4,0,7,0,0,305
133-135,135,1867,1,0,0,0,1,1,0,0,3,0,0,6,1,0,1,58,0,0,12,2,0,0,0,4,0,3,1,0,7,0,1,316
135-137,137,1865,1,0,0,0,0,2,1,0,1,0,0,8,0,0,0,36,0,0,20,3,1,0,0,3,0,2,3,0,15,0,0,318
137-139,139,1863,9,0,0,0,1,2,1,0,3,0,0,6,0,0,0,7,0,0,31,10,0,2,0,4,1,3,1,1,16,0,1,307
139-141,141,1861,4,0,0,0,0,3,2,0,3,0,0,6,0,0,0,15,0,0,28,6,0,0,0,7,2,2,3,0,15,0,1,311
141-143,143,1859,1,0,0,0,1,6,4,0,13,0,0,3,0,0,0,4,0,0,21,6,1,1,1,7,3,4,6,0,17,0,0,302
143-145,145,1857,2,0,0,0,2,4,6,0,11,0,0,4,0,0,0,13,0,0,23,6,0,1,0,6,1,3,3,1,11,0,1,312
145-147,147,1855,0,0,0,0,2,2,2,0,4,0,0,5,0,0,0,27,1,0,32,5,0,0,0,3,2,2,3,0,10,0,0,308
147-149,149,1853,2,0,0,0,0,3,2,0,8,0,0,8,0,0,0,5,1,0,30,7,0,0,0,6,1,3,5,0,15,0,1,305
149-151,151,1851,1,0,0,0,1,5,4,0,7,0,0,7,1,0,0,11,0,0,34,1,0,0,0,3,3,2,3,0,15,0,0,303
151-153,153,1849,3,0,0,0,1,7,3,0,7,0,0,6,0,0,0,7,1,0,27,5,0,1,0,4,3,1,2,1,19,0,1,321
153-155,155,1847,2,0,1,1,0,6,4,0,12,1,0,6,0,0,0,2,0,0,30,3,0,1,0,4,2,3,3,2,16,0,1,311
155-157,157,1845,1,0,0,1,0,6,3,0,21,1,0,4,0,0,0,1,0,0,31,5,0,0,0,3,1,4,3,0,12,0,1,324
157-159,159,1843,1,0,0,0,1,5,6,0,24,1,0,6,0,0,0,2,0,0,29,5,0,1,0,4,2,1,3,0,8,1,1,307
159-161,161,1841,1,0,0,0,1,3,2,0,17,0,0,5,0,0,0,3,1,0,33,6,0,0,0,5,1,3,2,0,14,1,1,303
161-163,163,1839,1,0,1,0,0,1,2,0,16,0,0,5,1,0,0,1,0,0,39,5,0,0,0,6,2,2,2,0,15,0,1,305
163-165,165,1837,2,0,0,0,1,8,6,0,16,0,0,3,0,0,0,2,0,0,33,4,0,1,0,4,3,2,3,0,13,0,0,319
165-167,167,1835,1,0,1,0,0,5,5,0,11,0,0,5,1,0,0,2,0,0,33,7,0,0,1,6,1,4,2,0,12,0,2,308
167-168.5,168.5,1833.5,2,0,0,0,0,6,4,0,9,0,0,7,0,0,0,6,1,0,28,7,1,0,0,4,3,3,2,0,14,0,1,327
168.5-170,170,1832,2,0,0,0,1,3,6,0,15,0,0,6,0,0,0,5,1,1,25,3,0,1,0,3,3,2,3,1,17,0,0,302
170d-172,172,1830,1,1,0,0,1,13,3,0,7,0,0,3,0,0,0,5,0,1,29,4,0,1,0,3,2,2,2,1,17,1,2,312
172-174,174,1828,2,0,0,0,1,9,6,0,9,0,0,2,0,0,0,4,0,0,35,5,0,0,0,1,3,1,2,0,17,0,2,305
174-176,176,1826,2,0,0,0,1,5,4,0,5,0,0,2,0,0,0,2,0,0,36,3,0,2,0,2,4,3,2,0,26,1,1,322
176-178,178,1824,2,0,0,0,2,10,4,0,4,0,0,4,0,0,0,4,0,0,37,4,0,0,0,2,3,5,1,1,17,0,1,332
178-180,180,1822,1,0,1,0,1,6,4,0,8,0,0,3,0,0,0,1,0,0,34,2,0,0,0,1,4,1,1,0,27,0,2,309
180-182,182,1820,2,0,0,0,1,9,5,0,9,0,0,4,1,0,0,3,1,0,30,1,0,0,0,3,3,2,4,1,19,0,2,310
182-184,184,1818,1,1,0,0,1,9,3,0,6,0,0,3,0,0,0,1,2,0,37,3,0,0,0,2,2,2,1,0,22,0,2,323
184-186,186,1816,0,0,0,0,5,7,5,0,7,0,0,2,0,0,0,2,2,0,31,5,0,1,0,2,4,3,2,1,19,0,1,312
186-188,188,1814,1,0,1,0,3,8,6,0,3,0,0,3,0,0,0,2,1,0,32,2,0,1,0,2,6,2,2,0,26,0,0,312
188-190,190,1812,1,0,0,0,2,6,5,0,3,0,0,4,0,0,0,11,0,0,28,3,0,1,0,2,3,4,2,0,23,0,1,305
190-192,192,1810,0,0,1,0,6,5,2,0,3,0,0,7,1,0,0,6,1,0,38,2,0,1,0,2,3,2,1,0,19,0,0,304
192-194,194,1808,4,0,0,0,6,5,1,0,5,0,0,4,0,0,0,4,0,0,35,2,0,0,0,2,1,3,3,0,22,0,2,312
194-196,196,1806,2,0,0,0,1,6,6,0,6,0,0,4,0,0,0,2,0,0,33,3,0,1,0,3,3,2,3,0,24,0,1,305
196-198,198,1804,1,0,0,0,1,3,7,0,5,0,0,11,0,0,0,6,0,0,27,3,0,1,0,4,4,4,4,0,19,0,1,306
198-200,200,1802,1,0,1,0,6,6,3,0,6,0,0,5,0,0,0,4,1,0,23,5,1,2,0,4,2,5,2,1,23,0,1,598
200-202,202,1800,2,0,0,0,4,10,3,0,2,0,0,4,0,0,0,3,0,0,34,3,0,1,0,1,3,2,1,0,26,0,0,302
202-204,204,1798,1,0,0,1,2,12,7,0,2,0,0,5,0,0,0,2,0,0,25,4,0,1,0,2,8,1,2,0,24,0,0,301
204-206,206,1796,1,0,0,0,3,6,10,0,4,0,0,6,0,0,0,5,1,1,22,6,1,1,0,3,3,3,4,0,17,0,0,312
206-208,208,1794,1,0,0,0,4,7,9,0,5,0,0,5,0,0,0,10,1,0,24,5,1,1,0,3,2,2,5,0,13,0,1,309
208-210,210,1792,1,0,0,0,3,3,4,0,4,1,0,6,1,0,0,7,1,0,29,4,0,1,0,5,2,4,2,0,21,1,1,310
210-212,212,1790,2,0,0,0,1,1,6,0,2,0,0,9,0,0,0,2,0,0,29,5,0,1,0,3,5,2,2,1,26,0,1,303
212-214,214,1788,1,0,0,0,3,3,3,0,2,0,0,5,0,0,0,3,0,0,26,5,0,1,0,2,11,2,2,0,28,0,2,305
214-216,216,1786,1,0,1,0,2,2,2,0,5,0,0,5,1,0,0,11,0,0,30,3,0,1,0,2,7,2,2,0,22,0,0,309
216-218,218,1784,0,0,1,0,2,2,0,0,18,0,0,5,0,0,0,2,0,1,33,2,1,0,0,1,7,2,3,0,18,0,0,302
218-220,220,1782,2,0,1,0,1,3,1,0,6,0,0,7,0,0,0,3,1,0,27,1,0,1,0,1,8,2,1,0,32,0,2,304
220-222,222,1780,2,0,1,0,2,2,1,0,3,0,0,6,0,0,0,3,0,0,22,2,0,0,0,4,15,3,1,0,31,0,2,308
222-224,224,1778,2,0,0,0,2,5,4,0,2,0,0,4,0,0,0,5,0,1,28,3,0,0,0,2,14,3,3,0,23,0,1,332
224-226,226,1776,1,0,1,0,1,4,3,0,2,0,0,7,2,0,0,5,1,0,28,7,0,1,0,3,15,3,5,0,10,0,0,325
226-228,228,1774,2,0,1,0,4,1,2,0,1,0,0,4,0,0,0,38,0,0,22,5,0,0,0,2,2,1,3,0,10,0,1,305
228-230,230,1772,1,0,0,0,2,3,5,0,4,0,0,12,0,0,0,10,1,0,27,6,0,1,0,2,5,3,4,0,13,0,2,308
230-232,232,1770,2,0,0,0,0,5,5,0,8,0,0,14,0,0,0,4,1,0,25,4,1,0,0,4,4,3,2,1,15,0,1,307
232-234,234,1768,2,0,0,0,1,7,7,0,7,0,0,9,0,0,0,5,1,0,29,4,0,1,0,5,4,2,1,0,13,0,1,321
234-236,236,1766,3,0,0,0,1,5,8,0,8,0,0,5,0,0,0,2,0,0,33,6,1,2,0,2,4,2,4,0,14,0,2,311
236-238,238,1764,1,0,0,0,2,4,6,0,12,0,0,8,0,0,0,2,0,0,29,7,0,0,0,4,6,2,2,0,15,0,1,303
238-240,240,1762,2,0,1,0,2,3,8,0,8,0,0,6,0,0,0,4,0,0,21,6,0,0,0,6,10,3,3,0,13,1,1,303
240-242,242,1760,1,0,0,0,2,5,6,0,7,0,0,6,0,0,0,3,0,0,35,7,1,0,0,1,5,3,3,0,16,0,0,303
242-244,244,1758,2,0,0,0,1,3,4,0,2,0,0,3,0,0,0,24,0,0,23,2,0,0,0,5,19,4,2,0,8,0,0,302
244-246,246,1756,3,0,0,0,1,3,3,0,1,0,0,2,0,0,0,22,0,0,26,7,0,0,0,4,9,2,3,0,12,0,0,318
246-248,248,1754,2,0,0,1,3,1,3,0,5,0,0,3,1,0,0,35,0,0,16,6,1,0,0,4,3,1,3,0,14,0,0,326
248-250,250,1752,4,0,0,0,1,4,3,0,2,0,0,2,1,0,0,12,0,0,32,6,0,1,0,4,5,3,4,0,16,0,0,303
250-252,252,1750,2,0,1,1,1,6,4,0,3,0,0,6,0,0,0,3,0,1,26,8,0,1,0,5,7,2,4,0,19,0,0,309
252-254,254,1748,1,0,1,0,3,11,5,0,6,0,0,4,0,0,0,0,0,0,25,3,0,1,1,2,8,3,2,0,21,0,1,315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,