"year","Dictyocha_aculeata","D_brevispina","D_perlaevis","D_stapedia_s_str","D_stapedia_aspinosa","D_stapedida_spinosa","Distephanus_octangulatus","Ds_speculum_minutus","Ds_speculum_ornamentatum","Ds_speculum_speculum","Octactis_pulchra"
2007,6,0,0,10,0,6,0,55,0,22,1
2006,17,0,0,48,0,4,1,7,0,17,6
2005,30,0,1,40,0,4,0,11,0,9,8
2004,34,0,0,47,0,4,0,1,0,4,9
2003,26,0,0,48,0,1,0,3,1,13,8
2002,19,0,0,58,0,2,0,3,0,14,4
2001,14,0,0,40,3,4,0,13,1,13,11
2000,12,0,0,50,6,6,0,2,0,7,17
1999,28,0,0,14,0,4,0,22,0,18,14
1998,20,0,0,58,2,0,0,12,0,6,2
1997,14,0,0,78,2,2,0,0,0,4,0
1996,21,0,0,71,0,2,0,0,0,4,2
1995,16,0,0,76,0,2,0,0,0,4,2
1994,22,0,0,68,0,0,0,0,0,2,8
1993,24,0,0,60,4,0,0,0,0,4,8
1991,18,0,0,74,0,2,0,2,0,2,2
1989,36,0,0,28,0,0,0,0,0,20,16
1987,30,0,0,46,0,0,0,4,0,12,8
1985,36,0,0,48,0,0,0,2,0,8,6
1983,28,0,2,64,0,0,0,6,0,0,0
1981,16,0,0,78,0,0,0,2,0,2,2
1979,24,0,0,62,0,4,0,0,0,4,4
1977,28,0,0,48,0,0,0,0,0,12,12
1975,50,0,0,46,0,0,0,1,0,2,0
1973,64,0,0,24,0,0,0,2,0,6,4
1971,38,0,0,57,0,0,0,0,0,2,2
1969,74,0,0,20,0,0,0,2,0,2,0
1967,54,0,2,28,0,0,0,0,0,10,6
1965,35,0,0,51,0,6,0,1,0,2,5
1963,62,0,0,12,2,4,0,2,0,14,4
1961,64,0,2,18,0,0,0,0,0,8,8
1959,46,0,0,26,0,14,0,6,0,6,2
1957,14,0,0,74,0,6,0,0,0,4,2
1955,24,0,10,54,0,2,0,4,0,4,2
1953,38,0,2,40,0,0,0,6,0,8,4
1951,39,0,2,47,0,1,0,3,0,7,0
1949,40,0,4,42,0,4,0,2,2,2,2
1947,50,0,8,18,0,6,0,6,0,10,0
1945,32,0,16,22,0,12,0,8,0,4,6
1943,24,0,42,20,0,0,0,2,0,6,6
1941,20,0,32,42,0,0,0,2,0,0,4
1939,10,0,4,24,4,2,0,34,0,10,12
1937,18,0,8,16,4,12,0,24,0,10,8
1935,21,0,4,12,0,15,1,31,0,9,7
1933,38,0,0,10,0,2,0,36,0,10,4
1931,32,0,2,50,0,0,0,8,0,6,2
1929,43,0,3,42,2,5,0,1,0,1,3
1927,42,0,4,32,0,0,0,6,0,10,4
1925,40,2,0,22,0,8,8,8,0,8,2
1923,46,0,1,9,0,28,3,9,0,4,2
1921,37,0,0,8,0,27,0,12,1,14,0
1919,28,0,2,28,6,0,0,12,0,16,8
1917,15,0,1,24,0,4,0,32,0,20,3
1915,17,0,3,28,0,0,0,30,0,18,3
1913,18,0,0,20,0,2,0,32,0,26,2
1911,24,0,0,28,1,0,0,24,0,22,1
1909,26,0,2,6,0,0,0,46,0,20,0
1907,28,0,0,40,0,2,0,10,0,18,0
1905,40,0,0,34,2,0,0,16,0,6,2
1903,26,0,0,54,0,0,0,10,0,8,0
1901,44,0,6,22,0,2,0,8,0,14,4
1899,20,0,0,34,0,0,0,28,0,14,4
1897,8,0,0,24,0,0,0,38,0,30,0
1895,10,0,0,22,0,0,0,54,0,12,2
1893,14,0,0,16,0,4,0,36,2,28,0
1891,9,0,2,5,0,0,0,63,0,21,0
1889,46,0,0,32,0,0,0,6,0,14,2
1887,17,0,0,45,0,0,0,17,0,17,4
1885,18,0,2,33,1,3,0,28,0,11,4
1883,6,0,0,79,0,1,0,4,0,5,3
1881,24,0,2,24,0,0,0,38,0,10,2
1879,34,0,0,14,0,0,0,26,0,20,6
1877,18,0,0,38,0,0,0,8,2,22,12
1875,26,0,0,60,0,0,0,8,0,6,0
1873,19,0,0,33,0,1,0,27,0,15,4
1871,29,0,2,23,0,0,0,23,1,18,4
1869,35,0,0,55,0,0,0,3,0,6,1
1867,35,0,0,28,0,0,0,10,0,19,8
1865,27,0,0,55,0,0,0,12,0,6,0
1863,28,0,0,22,0,0,2,26,0,18,2
1861,20,0,0,9,0,0,7,48,0,16,0
1859,32,0,4,5,0,0,8,36,0,12,3
1857,39,0,2,7,0,0,6,34,0,10,2
1855,27,0,2,31,0,0,0,25,0,14,1
1853,32,0,0,30,0,0,0,16,0,20,2
1851,24,0,0,28,0,0,0,30,2,16,0
1849,22,0,0,20,0,0,0,30,0,22,4
1847,32,0,0,22,0,0,2,28,0,12,4
1845,33,0,5,23,0,0,0,11,0,27,1
1843,42,0,4,22,0,0,0,14,0,14,4
1841,17,0,1,45,0,0,3,16,3,11,3
1839,30,0,4,36,0,0,0,20,0,10,0
1837,38,0,4,16,0,0,0,28,0,4,8
1835,26,0,2,42,0,2,0,18,0,6,4
1833.5,30,0,4,34,0,0,0,18,0,14,0
1832,40,0,4,8,0,2,0,30,0,12,4
1830,20,0,0,22,0,0,0,26,0,26,4
1828,14,0,1,16,0,0,0,51,0,16,2
1826,14,0,0,12,0,0,0,40,0,34,0
1824,33,0,0,25,0,0,0,17,0,21,1
1822,22,0,0,33,0,0,0,27,0,16,2
1820,6,0,0,82,0,0,0,2,0,8,2
1818,22,0,4,36,0,0,0,16,0,20,0
1816,14,0,8,20,0,0,0,24,0,32,0
1814,36,0,0,26,0,0,0,20,0,16,0
1812,42,0,0,40,0,0,0,8,0,10,0
1810,20,0,0,70,0,0,0,6,0,2,0
1808,10,0,0,16,0,0,0,54,0,20,0
1806,8,0,0,10,0,0,0,56,0,22,0
1804,32,0,0,28,0,0,0,18,0,22,0
1802,24,0,2,38,0,0,2,14,0,14,2
1800,30,0,0,46,0,0,0,14,0,10,0
1798,26,0,0,18,0,0,0,24,0,30,0
1796,50,0,0,22,0,0,0,20,0,8,0
1794,40,0,0,16,0,0,0,12,0,22,8
1792,14,0,0,46,0,0,0,20,0,16,4
1790,22,0,0,22,0,0,2,40,0,12,0
1788,34,0,0,32,0,0,0,16,0,16,0
1786,29,0,0,7,0,0,0,20,0,42,2
1784,16,0,0,26,0,0,0,36,0,22,0
1782,24,0,0,42,0,0,0,16,0,12,0
1780,20,0,0,42,0,0,0,12,0,22,2
1778,34,0,4,22,0,0,0,14,0,26,0
1776,23,0,5,28,0,0,0,13,0,24,6
1774,21,0,0,59,0,0,0,7,0,8,4
1772,16,0,0,70,0,0,0,4,0,6,2
1770,26,0,0,62,0,0,0,4,0,8,0
1768,26,0,6,22,0,0,0,26,0,18,2
1766,24,0,0,20,0,0,2,36,0,18,0
1764,38,0,1,23,0,0,3,19,0,12,0
1762,25,0,2,15,0,0,16,27,0,12,3
1760,13,0,1,5,0,0,35,30,0,13,3
1758,16,0,5,3,1,0,34,22,0,13,7
1756,13,0,1,10,0,0,4,51,2,16,3
1754,15,0,10,6,0,0,1,39,0,20,9
1752,7,0,9,5,0,0,0,44,2,26,7
1750,16,0,0,26,0,0,0,32,0,25,1
1748,34,0,0,48,0,0,0,2,0,14,2
